10395,817258,500 W @ 1078 N,N 500 W,40.248628,-111.667296
10396,817260,STATE ST @ 1460 N,N STATE ST,40.253929,-111.669909
10398,817371,STATE ST @ 1730 N,N STATE ST,40.256915,-111.672676
10399,817262,STATE ST @ 1870 N,N STATE ST,40.259491,-111.675071
16936,135282,BRUIN BLVD @ 1904 W,W BRUIN BLVD,40.674859,-111.943134
16937,135283,BRUIN BLVD @ 2090 W,W BRUIN BLVD,40.675257,-111.946335
16934,136029,4700 S @ 1528 W,W 4700 S,40.667982,-111.934698
16932,136037,4700 S @ 1176 W,W 4700 S,40.671175,-111.925667
16933,136028,4700 S @ 1302 W,W 4700 S,40.669962,-111.928874
16930,136020,ATHERTON DR @ 1020 W,W ATHERTON DR,40.670842,-111.921492
16931,136021,ATHERTON DR @ 4533 S,S ATHERTON DR,40.671353,-111.922116
13546,155001,HOLLADAY BLVD @ 4884 S,S HOLLADAY BLVD,40.662901,-111.819256
16938,135288,4700 S @ 2570 W,W 4700 S,40.667726,-111.955677
16939,135211,4700 S @ 3460 W,W 4700 S,40.667686,-111.974517
12226,111053,WILDCAT LN @ 2225 S,S WILDCAT LN,40.867965,-111.897471
12227,111054,WILDCAT LN @ 2502 S,S WILDCAT LN,40.865096,-111.898838
12224,112062,2200 S @ 1095 E,E 2200 S,40.865191,-111.859091
12225,112064,ELAINE AVE @ 2095 S,S ELAINE AVE,40.866591,-111.859819
12222,112060,DEBORAH DR @ 1153 E,E DEBORAH DR,40.867199,-111.856959
12223,112061,1125 E @ 2184 S,S 1125 E,40.865768,-111.858003
12220,112058,2050 S @ 1285 E,E 2050 S,40.867535,-111.853158
12221,112059,2050 S @ 1215 E,E 2050 S,40.867539,-111.855173
12228,111085,WILDCAT LN @ 2575 S,S WILDCAT LN,40.861957,-111.899553
12229,112097,500 W @ 2554 S,S 500 W,40.862215,-111.892167
18327,S177006,PERUVIAN UP @ 7 E,E PERUVIAN UP,40.589017,-111.642801
16090,151055,4420 W @ 4940 S,S 4420 W,40.661685,-111.996503
15874,126337,2100 S @ 1690 E,E 2100 S,40.725363,-111.843268
15875,126338,2100 S @ 1772 E,E 2100 S,40.72544,-111.839725
15872,126335,2100 S @ 1510 E,E 2100 S,40.725735,-111.846968
15873,126336,2100 S @ 1610 E,E 2100 S,40.725679,-111.84529
15871,126334,2100 S @ 1396 E,E 2100 S,40.725738,-111.851272
10574,817091,UNIVERSITY AVE @ 510 N,N UNIVERSITY AVE,40.240738,-111.658514
10575,817307,UNIVERSITY AVE @ 716 N,N UNIVERSITY AVE,40.243618,-111.658492
10570,817369,UNIVERSITY AVE @ 1021 N,N UNIVERSITY AVE,40.246963,-111.658841
10571,830059,UNIVERSITY AVE @ 691 N,N UNIVERSITY AVE,40.242568,-111.658841
10572,816047,UNIVERSITY PKWY @ 145 W,W UNIVERSITY PKWY,40.273396,-111.698401
21424,101172,WASATCH BLVD @ 8295 S,S WASATCH BLVD,40.600582,-111.796715
21422,101169,COUGAR LN @ 6226 S,S COUGAR LN,40.637692,-112.005721
